,Prime,Prime_diff
0,2,2
1,3,1
2,29,28
3,31,3
4,37,34
5,41,7
6,43,36
7,47,11
8,53,42
9,59,17
10,61,44
11,67,23
12,71,48
13,73,25
14,79,54
15,83,29
16,89,60
17,97,37
18,101,64
19,103,39
20,107,68
21,109,41
22,113,72
23,121,49
24,127,78
25,131,53
26,137,84
27,139,55
28,143,88
29,149,61
30,151,90
31,157,67
32,163,96
33,167,71
34,169,98
35,173,75
36,179,104
37,181,77
38,187,110
39,191,81
40,193,112
41,197,85
42,199,114
43,209,95
44,211,116
45,221,105
46,223,118
47,227,109
48,229,120
49,233,113
50,239,126
51,241,115
52,247,132
53,251,119
54,253,134
55,257,123
56,263,140
57,269,129
58,271,142
59,277,135
60,281,146
61,283,137
62,289,152
63,293,141
64,299,158
65,307,149
66,311,162
67,313,151
68,317,166
69,319,153
70,323,170
71,331,161
72,337,176
73,341,165
74,347,182
75,349,167
76,353,186
77,359,173
78,361,188
79,367,179
80,373,194
81,377,183
82,379,196
83,383,187
84,389,202
85,391,189
86,397,208
87,401,193
88,403,210
89,407,197
90,409,212
91,419,207
92,421,214
93,431,217
94,433,216
95,437,221
96,439,218
97,443,225
98,449,224
99,451,227
100,457,230
101,461,231
102,463,232
103,467,235
104,473,238
105,479,241
106,481,240
107,487,247
108,491,244
109,493,249
110,499,250
111,503,253
112,509,256
113,517,261
114,521,260
115,523,263
116,527,264
117,529,265
118,533,268
119,541,273
120,547,274
121,551,277
122,557,280
123,559,279
124,563,284
125,569,285
126,571,286
127,577,291
128,583,292
129,587,295
130,589,294
131,593,299
132,599,300
133,601,301
134,607,306
135,611,305
136,613,308
137,617,309
138,619,310
139,629,319
140,631,312
141,641,329
142,643,314
143,647,333
144,649,316
145,653,337
146,659,322
147,661,339
148,667,328
149,671,343
150,673,330
151,677,347
152,683,336
153,689,353
154,691,338
155,697,359
156,701,342
157,703,361
158,709,348
159,713,365
160,719,354
161,727,373
162,731,358
163,733,375
164,737,362
165,739,377
166,743,366
167,751,385
168,757,372
169,761,389
170,767,378
171,769,391
172,773,382
173,779,397
174,781,384
175,787,403
176,793,390
177,797,407
178,799,392
179,803,411
180,809,398
181,811,413
182,817,404
183,821,417
184,823,406
185,827,421
186,829,408
187,839,431
188,841,410
189,851,441
190,853,412
191,857,445
192,859,414
193,863,449
194,869,420
195,871,451
196,877,426
197,881,455
198,883,428
199,887,459
200,893,434
201,899,465
202,901,436
203,907,471
204,911,440
205,913,473
206,919,446
207,923,477
208,929,452
209,937,485
210,941,456
211,943,487
212,947,460
213,949,489
214,953,464
215,961,497
216,967,470
217,971,501
218,977,476
219,979,503
220,983,480
221,989,509
222,991,482
223,997,515
224,1003,488
225,1007,519
226,1009,490
227,1013,523
228,1019,496
229,1021,525
230,1027,502
231,1031,529
232,1033,504
233,1037,533
234,1039,506
235,1049,543
236,1051,508
237,1061,553
238,1063,510
239,1067,557
240,1069,512
241,1073,561
242,1079,518
243,1081,563
244,1087,524
245,1091,567
246,1093,526
247,1097,571
248,1103,532
249,1109,577
250,1111,534
251,1117,583
252,1121,538
253,1123,585
254,1129,544
255,1133,589
256,1139,550
257,1147,597
258,1151,554
259,1153,599
260,1157,558
261,1159,601
262,1163,562
263,1171,609
264,1177,568
265,1181,613
266,1187,574
267,1189,615
268,1193,578
269,1199,621
270,1201,580
271,1207,627
272,1213,586
273,1217,631
274,1219,588
275,1223,635
276,1229,594
277,1231,637
278,1237,600
279,1241,641
280,1243,602
281,1247,645
282,1249,604
283,1259,655
284,1261,606
285,1271,665
286,1273,608
287,1277,669
288,1279,610
289,1283,673
290,1289,616
291,1291,675
292,1297,622
293,1301,679
294,1303,624
295,1307,683
296,1313,630
297,1319,689
298,1321,632
299,1327,695
300,1331,636
301,1333,697
302,1339,642
303,1343,701
304,1349,648
305,1357,709
306,1361,652
307,1363,711
308,1367,656
309,1369,713
310,1373,660
311,1381,721
312,1387,666
313,1391,725
314,1397,672
315,1399,727
316,1403,676
317,1409,733
318,1411,678
319,1417,739
320,1423,684
321,1427,743
322,1429,686
323,1433,747
324,1439,692
325,1441,749
326,1447,698
327,1451,753
328,1453,700
329,1457,757
330,1459,702
331,1469,767
332,1471,704
333,1481,777
334,1483,706
335,1487,781
336,1489,708
337,1493,785
338,1499,714
339,1501,787
340,1507,720
341,1511,791
342,1513,722
343,1517,795
344,1523,728
345,1529,801
346,1531,730
347,1537,807
348,1541,734
349,1543,809
350,1549,740
351,1553,813
352,1559,746
353,1567,821
354,1571,750
355,1573,823
356,1577,754
357,1579,825
358,1583,758
359,1591,833
360,1597,764
361,1601,837
362,1607,770
363,1609,839
364,1613,774
365,1619,845
366,1621,776
367,1627,851
368,1633,782
369,1637,855
370,1639,784
371,1643,859
372,1649,790
373,1651,861
374,1657,796
375,1661,865
376,1663,798
377,1667,869
378,1669,800
379,1679,879
380,1681,802
381,1691,889
382,1693,804
383,1697,893
384,1699,806
385,1703,897
386,1709,812
387,1711,899
388,1717,818
389,1721,903
390,1723,820
391,1727,907
392,1733,826
393,1739,913
394,1741,828
395,1747,919
396,1751,832
397,1753,921
398,1759,838
399,1763,925
400,1769,844
401,1777,933
402,1781,848
403,1783,935
404,1787,852
405,1789,937
406,1793,856
407,1801,945
408,1807,862
409,1811,949
410,1817,868
411,1819,951
412,1823,872
413,1829,957
414,1831,874
415,1837,963
416,1843,880
417,1847,967
418,1849,882
419,1853,971
420,1859,888
421,1861,973
422,1867,894
423,1871,977
424,1873,896
425,1877,981
426,1879,898
427,1889,991
428,1891,900
429,1901,1001
430,1903,902
431,1907,1005
432,1909,904
433,1913,1009
434,1919,910
435,1921,1011
436,1927,916
437,1931,1015
438,1933,918
439,1937,1019
440,1943,924
441,1949,1025
442,1951,926
443,1957,1031
444,1961,930
445,1963,1033
446,1969,936
447,1973,1037
448,1979,942
449,1987,1045
450,1991,946
451,1993,1047
452,1997,950
453,1999,1049
454,2003,954
455,2011,1057
456,2017,960
457,2021,1061
458,2027,966
459,2029,1063
460,2033,970
461,2039,1069
462,2041,972
463,2047,1075
464,2053,978
465,2057,1079
466,2059,980
467,2063,1083
468,2069,986
469,2071,1085
470,2077,992
471,2081,1089
472,2083,994
473,2087,1093
474,2089,996
475,2099,1103
476,2101,998
477,2111,1113
478,2113,1000
479,2117,1117
480,2119,1002
481,2123,1121
482,2129,1008
483,2131,1123
484,2137,1014
485,2141,1127
486,2143,1016
487,2147,1131
488,2153,1022
489,2159,1137
490,2161,1024
491,2167,1143
492,2171,1028
493,2173,1145
494,2179,1034
495,2183,1149
496,2189,1040
497,2197,1157
498,2201,1044
499,2203,1159
500,2207,1048
501,2209,1161
502,2213,1052
503,2221,1169
504,2227,1058
505,2231,1173
506,2237,1064
507,2239,1175
508,2243,1068
509,2249,1181
510,2251,1070
511,2257,1187
512,2263,1076
513,2267,1191
514,2269,1078
515,2273,1195
516,2279,1084
517,2281,1197
518,2287,1090
519,2291,1201
520,2293,1092
521,2297,1205
522,2299,1094
523,2309,1215
524,2311,1096
525,2321,1225
526,2323,1098
527,2327,1229
528,2329,1100
529,2333,1233
530,2339,1106
531,2341,1235
532,2347,1112
533,2351,1239
534,2353,1114
535,2357,1243
536,2363,1120
537,2369,1249
538,2371,1122
539,2377,1255
540,2381,1126
541,2383,1257
542,2389,1132
543,2393,1261
544,2399,1138
545,2407,1269
546,2411,1142
547,2413,1271
548,2417,1146
549,2419,1273
550,2423,1150
551,2431,1281
552,2437,1156
553,2441,1285
554,2447,1162
555,2449,1287
556,2453,1166
557,2459,1293
558,2461,1168
559,2467,1299
560,2473,1174
561,2477,1303
562,2479,1176
563,2483,1307
564,2489,1182
565,2491,1309
566,2497,1188
567,2501,1313
568,2503,1190
569,2507,1317
570,2509,1192
571,2519,1327
572,2521,1194
573,2531,1337
574,2533,1196
575,2537,1341
576,2539,1198
577,2543,1345
578,2549,1204
579,2551,1347
580,2557,1210
581,2561,1351
582,2563,1212
583,2567,1355
584,2573,1218
585,2579,1361
586,2581,1220
587,2587,1367
588,2591,1224
589,2593,1369
590,2599,1230
591,2603,1373
592,2609,1236
593,2617,1381
594,2621,1240
595,2623,1383
596,2627,1244
597,2629,1385
598,2633,1248
599,2641,1393
600,2647,1254
601,2651,1397
602,2657,1260
603,2659,1399
604,2663,1264
605,2669,1405
606,2671,1266
607,2677,1411
608,2683,1272
609,2687,1415
610,2689,1274
611,2693,1419
612,2699,1280
613,2701,1421
614,2707,1286
615,2711,1425
616,2713,1288
617,2717,1429
618,2719,1290
619,2729,1439
620,2731,1292
621,2741,1449
622,2743,1294
623,2747,1453
624,2749,1296
625,2753,1457
626,2759,1302
627,2761,1459
628,2767,1308
629,2771,1463
630,2773,1310
631,2777,1467
632,2783,1316
633,2789,1473
634,2791,1318
635,2797,1479
636,2801,1322
637,2803,1481
638,2809,1328
639,2813,1485
640,2819,1334
641,2827,1493
642,2831,1338
643,2833,1495
644,2837,1342
645,2839,1497
646,2843,1346
647,2851,1505
648,2857,1352
649,2861,1509
650,2867,1358
651,2869,1511
652,2873,1362
653,2879,1517
654,2881,1364
655,2887,1523
656,2893,1370
657,2897,1527
658,2899,1372
659,2903,1531
660,2909,1378
661,2911,1533
662,2917,1384
663,2921,1537
664,2923,1386
665,2927,1541
666,2929,1388
667,2939,1551
668,2941,1390
669,2951,1561
670,2953,1392
671,2957,1565
672,2959,1394
673,2963,1569
674,2969,1400
675,2971,1571
676,2977,1406
677,2981,1575
678,2983,1408
679,2987,1579
680,2993,1414
681,2999,1585
682,3001,1416
683,3007,1591
684,3011,1420
685,3013,1593
686,3019,1426
687,3023,1597
688,3029,1432
689,3037,1605
690,3041,1436
691,3043,1607
692,3047,1440
693,3049,1609
694,3053,1444
695,3061,1617
696,3067,1450
697,3071,1621
698,3077,1456
699,3079,1623
700,3083,1460
701,3089,1629
702,3091,1462
703,3097,1635
704,3103,1468
705,3107,1639
706,3109,1470
707,3113,1643
708,3119,1476
709,3121,1645
710,3127,1482
711,3131,1649
712,3133,1484
713,3137,1653
714,3139,1486
715,3149,1663
716,3151,1488
717,3161,1673
718,3163,1490
719,3167,1677
720,3169,1492
721,3173,1681
722,3179,1498
723,3181,1683
724,3187,1504
725,3191,1687
726,3193,1506
727,3197,1691
728,3203,1512
729,3209,1697
730,3211,1514
731,3217,1703
732,3221,1518
733,3223,1705
734,3229,1524
735,3233,1709
736,3239,1530
737,3247,1717
738,3251,1534
739,3253,1719
740,3257,1538
741,3259,1721
742,3263,1542
743,3271,1729
744,3277,1548
745,3281,1733
746,3287,1554
747,3289,1735
748,3293,1558
749,3299,1741
750,3301,1560
751,3307,1747
752,3313,1566
753,3317,1751
754,3319,1568
755,3323,1755
756,3329,1574
757,3331,1757
758,3337,1580
759,3341,1761
760,3343,1582
761,3347,1765
762,3349,1584
763,3359,1775
764,3361,1586
765,3371,1785
766,3373,1588
767,3377,1789
768,3379,1590
769,3383,1793
770,3389,1596
771,3391,1795
772,3397,1602
773,3401,1799
774,3403,1604
775,3407,1803
776,3413,1610
777,3419,1809
778,3421,1612
779,3427,1815
780,3431,1616
781,3433,1817
782,3439,1622
783,3443,1821
784,3449,1628
785,3457,1829
786,3461,1632
787,3463,1831
788,3467,1636
789,3469,1833
790,3473,1640
791,3481,1841
792,3487,1646
793,3491,1845
794,3497,1652
795,3499,1847
796,3503,1656
797,3509,1853
798,3511,1658
799,3517,1859
800,3523,1664
801,3527,1863
802,3529,1666
803,3533,1867
804,3539,1672
805,3541,1869
806,3547,1678
807,3551,1873
808,3553,1680
809,3557,1877
810,3559,1682
811,3569,1887
812,3571,1684
813,3581,1897
814,3583,1686
815,3587,1901
816,3589,1688
817,3593,1905
818,3599,1694
819,3601,1907
820,3607,1700
821,3611,1911
822,3613,1702
823,3617,1915
824,3623,1708
825,3629,1921
826,3631,1710
827,3637,1927
828,3641,1714
829,3643,1929
830,3649,1720
831,3653,1933
832,3659,1726
833,3667,1941
834,3671,1730
835,3673,1943
836,3677,1734
837,3679,1945
838,3683,1738
839,3691,1953
840,3697,1744
841,3701,1957
842,3707,1750
843,3709,1959
844,3713,1754
845,3719,1965
846,3721,1756
847,3727,1971
848,3733,1762
849,3737,1975
850,3739,1764
851,3743,1979
852,3749,1770
853,3751,1981
854,3757,1776
855,3761,1985
856,3763,1778
857,3767,1989
858,3769,1780
859,3779,1999
860,3781,1782
861,3791,2009
862,3793,1784
863,3797,2013
864,3799,1786
865,3803,2017
866,3809,1792
867,3811,2019
868,3817,1798
869,3821,2023
870,3823,1800
871,3827,2027
872,3833,1806
873,3839,2033
874,3841,1808
875,3847,2039
876,3851,1812
877,3853,2041
878,3859,1818
879,3863,2045
880,3869,1824
881,3877,2053
882,3881,1828
883,3883,2055
884,3887,1832
885,3889,2057
886,3893,1836
887,3901,2065
888,3907,1842
889,3911,2069
890,3917,1848
891,3919,2071
892,3923,1852
893,3929,2077
894,3931,1854
895,3937,2083
896,3943,1860
897,3947,2087
898,3949,1862
899,3953,2091
900,3959,1868
901,3961,2093
902,3967,1874
903,3971,2097
904,3973,1876
